STATIONID,EARTHMATID,SAMPLEID,Source,Sampler,STATION_wc_LIVE_ELEVATION,STATION_wc_LIVE_X_WGS84,STATION_wc_LIVE_Y_WGS84,STATION_wc_LIVE_SLSNOTES,SAMPLE_wc_LIVE_SAMPLETYPE,SAMPLE_wc_LIVE_PURPOSE,SAMPLE_wc_LIVE_NOTES,EARTHMAT_wc_LIVE_LITHGROUP,EARTHMAT_wc_LIVE_LITHTYPE,EARTHMAT_wc_LIVE_LITHDETAIL,EARTHMAT_wc_LIVE_MODTEXTURE,EARTHMAT_wc_LIVE_GRCRYSIZE,EARTHMAT_wc_LIVE_MAGSUSCEPT
09WCI078,09WCI078A,09WCI078A01,Ph.D. field research by Witold Ciolkiewicz (UBC-MDRU),Witold Ciolkiewicz,1380.03002929688,-140.773300018,63.9082665810001,granodiorite subcrop,hand; single,representative lithology, ,plutonic,mafic (p),gabbro,porphyritic, ,32.7
09WCI079,09WCI079A,09WCI079A01,Ph.D. field research by Witold Ciolkiewicz (UBC-MDRU),Witold Ciolkiewicz,1368.72998046875,-140.771113352,63.9080515810001,granodiorite,hand; single,representative lithology, ,plutonic,felsic (p),granodiorite,equigranular, ,33.8
09WCI080,09WCI080A,09WCI080A01,Ph.D. field research by Witold Ciolkiewicz (UBC-MDRU),Witold Ciolkiewicz,1285.43005371094,-140.772225017,63.9128399140001,from the road down to the station observed only orthogneiss,,,,metaplutonic,felsic (mp),felsic orthogneiss, , ,0.19
09WCIC93-250-007,09WCIC93-250-007,09WCIC93-250-007,Ph.D. field research by Witold Ciolkiewicz (UBC-MDRU),Witold Ciolkiewicz,1400,-138.83,62.73,"Casino Deposit, Yukon: drill hole number 93-250.  Provided latitude, longitude and elevation correspond to the general location of the Casino Deposit.  Precise drill hole location data and geological observations are confidential, per Confidentiality Agreement with the Western Copper Corporation.  For more information, see https://casinomining.com/",,,,,,,,,
10RAYWC031,10RAYWC031A,10RAYWC031A01,Ph.D. field research by Witold Ciolkiewicz (UBC-MDRU),Witold Ciolkiewicz,1746.30004882813,-137.835891699,62.4500082500001, ,hand; single,representative lithology, ,plutonic,felsic (p),monzogranite, , ,6.93
10RAYWC033,10RAYWC033A,10RAYWC033A01,Ph.D. field research by Witold Ciolkiewicz (UBC-MDRU),Witold Ciolkiewicz,1563.30004882813,-137.801565032,62.4431132500001, ,hand; single,representative lithology, ,plutonic,felsic (p),quartz monzonite, , ,17.9
10WCI033,10WCI033A,10WCI033A01,Ph.D. field research by Witold Ciolkiewicz (UBC-MDRU),Witold Ciolkiewicz,1579.78002929688,-135.045161709,60.2430549210001,float and angular rubble of medium grained diorite,hand; single,representative lithology, ,plutonic,intermediate (p),diorite, , ,25.2
10WCI045,10WCI045A,10WCI045A01,Ph.D. field research by Witold Ciolkiewicz (UBC-MDRU),Witold Ciolkiewicz,1474.28002929688,-134.737178377,60.480481588, ,hand; single,representative lithology, ,plutonic,felsic (p),granodiorite, , ,9.57
10WCI010,10WCI010A,10WCI010A01,Ph.D. field research by Witold Ciolkiewicz (UBC-MDRU),Witold Ciolkiewicz,1835.21997070313,-137.715026701,61.2569299190001,granite; minor fine-grained tonalite dikes;,hand; single,geochemistry; litho, ,plutonic,felsic (p),granite, , ,0.13
10WCI017,10WCI017A,10WCI017A01,Ph.D. field research by Witold Ciolkiewicz (UBC-MDRU),Witold Ciolkiewicz,844.75,-136.093745035,60.770453252, ,multiple pieces; bag,geochemistry; litho, ,plutonic,felsic (p),granite, , ,7.74
10WCI018,10WCI018A,10WCI018A01,Ph.D. field research by Witold Ciolkiewicz (UBC-MDRU),Witold Ciolkiewicz,849,-138.042495029,62.64598325, ,core,representative lithology, ,plutonic,felsic (p),monzonite, , ,0
10WCI029,10WCI029A,10WCI029A01,Ph.D. field research by Witold Ciolkiewicz (UBC-MDRU),Witold Ciolkiewicz,821.859985351563,-135.527355038,60.752373252,first station of the day (truck-based 1/2 day),hand; single,representative lithology, ,volcanic,intermediate (v),basaltic andesite, , ,26
10WCI029,10WCI029B,10WCI029B01,Ph.D. field research by Witold Ciolkiewicz (UBC-MDRU),Witold Ciolkiewicz,821.859985351563,-135.527355038,60.752373252,first station of the day (truck-based 1/2 day),hand; single,representative lithology, ,plutonic,felsic (p),granodiorite, , ,13.6
10WCI030,10WCI030A,10WCI030A01,Ph.D. field research by Witold Ciolkiewicz (UBC-MDRU),Witold Ciolkiewicz,764.549987792969,-135.908096702,60.8369899190001, ,hand; single,representative lithology, ,plutonic,felsic (p),granodiorite, , ,13.8
10WCI031,10WCI031A,10WCI031A01,Ph.D. field research by Witold Ciolkiewicz (UBC-MDRU),Witold Ciolkiewicz,1234.47998046875,-135.056518375,60.246623254,first station; slow walking up the mining road  (steep climb; lots of rounded boulders and cobbles); the road follows the creek up to 1/2 of the way; thick glacial till: from the bottom of the valley up to approx 1210m (current elevation),hand; single,representative lithology, ,plutonic,intermediate (p),monzogabbro, , ,18.4
10WCI033,10WCI033A,10WCI033A01,Ph.D. field research by Witold Ciolkiewicz (UBC-MDRU),Witold Ciolkiewicz,1579.78002929688,-135.045161709,60.2430549210001,float and angular rubble of medium grained diorite,hand; single,representative lithology, ,plutonic,intermediate (p),diorite, , ,25.2
10WCI040,10WCI040A,10WCI040A01,Ph.D. field research by Witold Ciolkiewicz (UBC-MDRU),Witold Ciolkiewicz,1701.68005371094,-134.743796712,60.472628254,felsenmeer of feldspar quartz porphyry -> fine-grained plagioclase-phyric granodiorite;,hand; single,representative lithology, ,plutonic,felsic (p),granodiorite, , ,14.6
10WCI043,10WCI043A,10WCI043A01,Ph.D. field research by Witold Ciolkiewicz (UBC-MDRU),Witold Ciolkiewicz,1493.97998046875,-134.747398378,60.4796665870001, ,hand; single,representative lithology, ,plutonic,felsic (p),granodiorite, , ,0
10WCI056,10WCI056A,10WCI056A01,Ph.D. field research by Witold Ciolkiewicz (UBC-MDRU),Witold Ciolkiewicz,638.840026855469,-135.861345036,62.0346082510001, ,hand; single,representative lithology, ,volcanic,felsic (v),rhyodacite, , ,0.77
10WCI061,10WCI061A,10WCI061A01,Ph.D. field research by Witold Ciolkiewicz (UBC-MDRU),Witold Ciolkiewicz,565.72998046875,-136.006918367,62.0840815830001, ,hand; single,representative lithology, ,volcanic,intermediate (v),basaltic andesite, , ,19.2
10WCI062,10WCI062A,10WCI062A01,Ph.D. field research by Witold Ciolkiewicz (UBC-MDRU),Witold Ciolkiewicz,695.140014648438,-135.921433369,62.0611799170001, ,hand; single,representative lithology, ,volcanic,ultramafic (v),ultramafic volcanic rock, , ,0
10WCI071,10WCI071A,10WCI071A01,Ph.D. field research by Witold Ciolkiewicz (UBC-MDRU),Witold Ciolkiewicz,565.640014648438,-135.927740035,62.06046825,n outcrops,hand; single,representative lithology, ,volcanic,intermediate (v),andesite, , ,0
10WCI072,10WCI072A,10WCI072A01,Ph.D. field research by Witold Ciolkiewicz (UBC-MDRU),Witold Ciolkiewicz,758.530029296875,-136.360196701,62.0664932500001, ,hand; single,representative lithology,clasts,volcaniclastic,breccia (vc),mafic volcanic breccia, , ,4.5
10WCI073,10WCI073A,10WCI073A01,Ph.D. field research by Witold Ciolkiewicz (UBC-MDRU),Witold Ciolkiewicz,696.630004882813,-136.331456701,62.0811049170001, ,hand; single,representative lithology, ,volcanic,mafic (v),basalt, , ,20.1
